Iconuc-1 ;Iconuc-2 ;Tabarnuc-1 ;Tabarnuc-2 ;NucPlusUltra-1 ;NucPlusUltra-2 ; Gazby ; Pégaz-1 ; Pégaz-2 ; Samagaz ; Omaïgaz-1 ; Omaïgaz-2 ; Gastafiore ;Igaznodon-1 ;Igaznodon-2 ;Coron-1 ;Coron-2 ;Mockingjay ;Lantier ;Tacotac ;TicEtTac ;Hydro ; STEP pompage ; STEP turbinage; STEP_stock ; Batterie injection ; Batterie soutirage ; Batterie Stock ; RES ; load ; Net load 
830.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;4354 ;  7384 ; 3030 
457.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;5072 ;  7729 ; 2657 
409.0 ; 0.0 ; 900.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; 0.0 ;5530 ;  8139 ; 2609 
300.0 ; 0.0 ; 570.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;5649 ;  7819 ; 2170 
300.0 ; 0.0 ; 317.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;5660 ;  7577 ; 1917 
300.0 ; 0.0 ; 315.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;5464 ;  7379 ; 1915 
300.0 ; 0.0 ; 496.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;5185 ;  7281 ; 2096 
300.0 ; 0.0 ; 880.0 ; 0.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;4872 ;  7352 ; 2480 
900.0 ; 0.0 ; 900.0 ; 337.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0; -0.0 ;0.0 ; 0.0 ; -0.0 ;4147 ;  7584 ; 3437 
900.0 ; 0.0 ; 900.0 ; 900.0 ; 1300.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 307.0 ;0.0 ; 0.0; -0.0 ;0.0 ; -0.0 ; -0.0 ;3463 ;  7770 ; 4307 
